date,itemid,fiscalyear,Item,sheet,Nominal millions of dollars,Real 2019 millions of dollars,Real 2019 per capita dollars,Share of GDP,Share of Total revenue
1876,310,1875/1876,Unmatured debt,all,120,2793.823974609375,696.8880004882813,.2845827341079712,5.217391490936279
1876,311,1875/1876,Treasury bills,all,0,0,0,0,0
1876,312,1875/1876,Canada savings bonds,all,0,0,0,0,0
1876,313,1875/1876,Marketable bonds,all,120,2793.823974609375,696.8880004882813,.2845827341079712,5.217391490936279
1876,320,1875/1876,Superannuation accounts,all,0,0,0,0,0
1876,330,1875/1876,Other liabilities,all,41,954.5565185546875,238.1033935546875,.0972324311733246,1.7826087474823
1876,401,1875/1876,Unmatured debt payable in foreign currencies,all,112,2607.569091796875,650.4288330078125,.265610545873642,4.869565010070801
1876,521,1875/1876,Debt charges,all,6,139.6912078857422,34.84440231323242,.014229136519134,.260869562625885
1876,530,1875/1876,Cash deficit (+) or surplus (-),all,8,186.2549285888672,46.45919799804688,.0189721807837486,.3478260934352875
1877,100,1876/1877,Net federal debt,all,133,3177.832275390625,781.9468994140625,.3059609234333038,5.782608509063721
1877,200,1876/1877,Financial assets,all,42,1003.526000976563,246.9306030273438,.0966192409396172,1.82608699798584
1877,300,1876/1877,Gross federal debt,all,175,4181.3583984375,1028.877563476563,.4025801718235016,7.608695507049561
1877,310,1876/1877,Unmatured debt,all,131,3130.04541015625,770.1883544921875,.301360011100769,5.695652008056641
1877,311,1876/1877,Treasury bills,all,0,0,0,0,0
1877,312,1876/1877,Canada savings bonds,all,0,0,0,0,0
1877,313,1876/1877,Marketable bonds,all,131,3130.04541015625,770.1883544921875,.301360011100769,5.695652008056641
1877,320,1876/1877,Superannuation accounts,all,0,0,0,0,0
1877,330,1876/1877,Other liabilities,all,44,1051.312866210938,258.6891784667969,.1012201607227325,1.91304349899292
1877,401,1876/1877,Unmatured debt payable in foreign currencies,all,122,2915.00390625,717.2745971679688,.2806558907032013,5.304347991943359
1877,521,1876/1877,Debt charges,all,7,167.2543334960938,41.15510177612305,.016103208065033,.304347813129425
1877,530,1876/1877,Cash deficit (+) or surplus (-),all,9,215.0412750244141,52.91370010375977,.020704124122858,.3913043439388275
1878,100,1877/1878,Net federal debt,all,140,3701.636474609375,898.4554443359375,.3417560160160065,6.363636493682861
1878,200,1877/1878,Financial assets,all,35,925.4091186523438,224.6138610839844,.0854390040040016,1.590909123420715
1878,300,1877/1878,Gross federal debt,all,175,4627.04541015625,1123.069213867188,.4271950125694275,7.954545497894287
1878,310,1877/1878,Unmatured debt,all,130,3437.23388671875,834.2800903320313,.3173448443412781,5.909090995788574
1878,311,1877/1878,Treasury bills,all,0,0,0,0,0
1878,312,1877/1878,Canada savings bonds,all,0,0,0,0,0
1878,313,1877/1878,Marketable bonds,all,130,3437.23388671875,834.2800903320313,.3173448443412781,5.909090995788574
1878,320,1877/1878,Superannuation accounts,all,0,0,0,0,0
1878,330,1877/1878,Other liabilities,all,45,1189.811767578125,288.7892761230469,.1098501458764076,2.045454502105713
1878,401,1877/1878,Unmatured debt payable in foreign currencies,all,121,3199.271484375,776.522216796875,.2953748404979706,5.5
1878,521,1877/1878,Debt charges,all,7,185.0818176269531,44.92277145385742,.0170878004282713,.3181818127632141
1878,530,1877/1878,Cash deficit (+) or surplus (-),all,8,211.5220794677734,51.34030914306641,.0195289142429829,.3636363744735718
1879,100,1878/1879,Net federal debt,all,143,3712.605224609375,887.1218872070313,.3212566077709198,5.296296119689941
1879,200,1878/1879,Financial assets,all,37,960.6041259765625,229.5350341796875,.0831223428249359,1.370370388031006
1879,300,1878/1879,Gross federal debt,all,180,4673.20947265625,1116.656982421875,.4043789505958557,6.666666507720947
1879,310,1878/1879,Unmatured debt,all,138,3582.7939453125,856.1036987304688,.3100238740444183,5.111111164093018
1879,311,1878/1879,Treasury bills,all,0,0,0,0,0
1879,312,1878/1879,Canada savings bonds,all,0,0,0,0,0
1879,313,1878/1879,Marketable bonds,all,138,3582.7939453125,856.1036987304688,.3100238740444183,5.111111164093018
1879,320,1878/1879,Superannuation accounts,all,0,0,0,0,0
1879,330,1878/1879,Other liabilities,all,42,1090.41552734375,260.5532836914063,.0943550914525986,1.555555582046509
1879,401,1878/1879,Unmatured debt payable in foreign currencies,all,128,3323.171142578125,794.0671997070313,.287558376789093,4.740740776062012
1879,521,1878/1879,Debt charges,all,7,181.7359161376953,43.4255485534668,.0157258491963148,.2592592537403107
1879,530,1878/1879,Cash deficit (+) or surplus (-),all,3,77.88682556152344,18.6109504699707,.0067396494559944,.1111111119389534
1880,100,1879/1880,Net federal debt,all,152,3634.991455078125,860.35302734375,.3153827786445618,6.608695507049561
1880,200,1879/1880,Financial assets,all,43,1028.319946289063,243.3893432617188,.0892201289534569,1.86956524848938
1880,300,1879/1880,Gross federal debt,all,195,4663.3115234375,1103.742431640625,.4046029150485992,8.47826099395752
1880,310,1879/1880,Unmatured debt,all,149,3563.248046875,843.372314453125,.3091581165790558,6.47826099395752
1880,311,1879/1880,Treasury bills,all,0,0,0,0,0
1880,312,1879/1880,Canada savings bonds,all,0,0,0,0,0
1880,313,1879/1880,Marketable bonds,all,149,3563.248046875,843.372314453125,.3091581165790558,6.47826099395752
1880,320,1879/1880,Superannuation accounts,all,0,0,0,0,0
1880,330,1879/1880,Other liabilities,all,46,1100.063232421875,260.3699951171875,.0954447910189629,2
1880,401,1879/1880,Unmatured debt payable in foreign currencies,all,137,3276.275146484375,775.4497680664063,.2842594981193542,5.956521511077881
1880,521,1879/1880,Debt charges,all,8,191.3153381347656,45.28173828125,.0165990944951773,.3478260934352875
1880,530,1879/1880,Cash deficit (+) or surplus (-),all,10,239.1441650390625,56.60216903686523,.0207488685846329,.4347825944423676
1881,100,1880/1881,Net federal debt,all,155,3674.5302734375,849.6023559570313,.2725566923618317,5.166666507720947
1881,200,1880/1881,Financial assets,all,45,1066.799072265625,246.6587524414063,.0791293606162071,1.5
1881,300,1880/1881,Gross federal debt,all,200,4741.3291015625,1096.261108398438,.3516860604286194,6.666666507720947
1881,310,1880/1881,Unmatured debt,all,147,3484.876953125,805.7518920898438,.2584892511367798,4.900000095367432
1881,311,1880/1881,Treasury bills,all,0,0,0,0,0
1881,312,1880/1881,Canada savings bonds,all,0,0,0,0,0
1881,313,1880/1881,Marketable bonds,all,147,3484.876953125,805.7518920898438,.2584892511367798,4.900000095367432
1881,320,1880/1881,Superannuation accounts,all,0,0,0,0,0
1881,330,1880/1881,Other liabilities,all,53,1256.452270507813,290.5091857910156,.093196801841259,1.766666650772095
1881,401,1880/1881,Unmatured debt payable in foreign currencies,all,137,3247.810546875,750.9388427734375,.2409049421548843,4.566666603088379
1881,521,1880/1881,Debt charges,all,8,189.6531677246094,43.85044479370117,.0140674421563745,.2666666805744171
1881,530,1880/1881,Cash deficit (+) or surplus (-),all,3,71.11994171142578,16.44391632080078,.0052752909250557,.1000000014901161
1882,100,1881/1882,Net federal debt,all,154,3493.015625,798.403564453125,.2488345950841904,4.400000095367432
1882,200,1881/1882,Financial assets,all,51,1156.77783203125,264.4063720703125,.082406260073185,1.45714282989502
1882,300,1881/1882,Gross federal debt,all,205,4649.79345703125,1062.809936523438,.3312408626079559,5.857142925262451
1882,310,1881/1882,Unmatured debt,all,146,3311.560302734375,756.9280395507813,.2359081208705902,4.171428680419922
1882,311,1881/1882,Treasury bills,all,0,0,0,0,0
1882,312,1881/1882,Canada savings bonds,all,0,0,0,0,0
1882,313,1881/1882,Marketable bonds,all,146,3311.560302734375,756.9280395507813,.2359081208705902,4.171428680419922
1882,320,1881/1882,Superannuation accounts,all,0,0,0,0,0
1882,330,1881/1882,Other liabilities,all,59,1338.233276367188,305.8818969726563,.0953327342867851,1.685714244842529
1882,401,1881/1882,Unmatured debt payable in foreign currencies,all,132,2994.013427734375,684.345947265625,.2132867872714996,3.77142858505249
1882,521,1881/1882,Debt charges,all,8,181.4553527832031,41.47550964355469,.012926472350955,.228571429848671
1882,530,1881/1882,Cash deficit (+) or surplus (-),all,-2,-45.36383819580078,-10.36887741088867,-.0032316180877388,-.0571428574621677
1883,100,1882/1883,Net federal debt,all,158,3768.569091796875,850.6928100585938,.2583696246147156,4.270270347595215
1883,200,1882/1883,Financial assets,all,45,1073.32666015625,242.2859344482422,.0735862851142883,1.216216206550598
1883,300,1882/1883,Gross federal debt,all,203,4841.8955078125,1092.978637695313,.3319559097290039,5.486486434936523
1883,310,1882/1883,Unmatured debt,all,139,3315.38671875,748.394287109375,.2272998690605164,3.756756782531738
1883,311,1882/1883,Treasury bills,all,0,0,0,0,0
1883,312,1882/1883,Canada savings bonds,all,0,0,0,0,0
1883,313,1882/1883,Marketable bonds,all,139,3315.38671875,748.394287109375,.2272998690605164,3.756756782531738
1883,320,1882/1883,Superannuation accounts,all,0,0,0,0,0
1883,330,1882/1883,Other liabilities,all,64,1526.508911132813,344.5844116210938,.1046560555696487,1.729729771614075
1883,401,1882/1883,Unmatured debt payable in foreign currencies,all,130,3100.721435546875,699.9371337890625,.212582603096962,3.513513565063477
1883,521,1882/1883,Debt charges,all,8,190.8136138916016,43.07305145263672,.0130820069462061,.2162162214517593
1883,530,1882/1883,Cash deficit (+) or surplus (-),all,5,119.2585144042969,26.92065811157227,.0081762541085482,.1351351290941238
1884,100,1883/1884,Net federal debt,all,182,4494.22216796875,1001.609558105469,.3110170066356659,5.515151500701904
1884,200,1883/1884,Financial assets,all,61,1506.30517578125,335.7042846679688,.1042419672012329,1.848484873771667
1884,300,1883/1884,Gross federal debt,all,243,6000.52685546875,1337.313720703125,.4152589738368988,7.363636493682861
1884,310,1883/1884,Unmatured debt,all,175,4321.3671875,963.0860595703125,.2990548014640808,5.303030490875244
1884,311,1883/1884,Treasury bills,all,0,0,0,0,0
1884,312,1883/1884,Canada savings bonds,all,0,0,0,0,0
1884,313,1883/1884,Marketable bonds,all,175,4321.3671875,963.0860595703125,.2990548014640808,5.303030490875244
1884,320,1883/1884,Superannuation accounts,all,0,0,0,0,0
1884,330,1883/1884,Other liabilities,all,68,1679.159790039063,374.2277221679688,.1162041574716568,2.060606002807617
1884,401,1883/1884,Unmatured debt payable in foreign currencies,all,153,3778.109619140625,842.0123901367188,.2614593505859375,4.636363506317139
1884,521,1883/1884,Debt charges,all,8,197.5482177734375,44.02679061889648,.0136710768565536,.2424242496490479
1884,530,1883/1884,Cash deficit (+) or surplus (-),all,24,592.6446533203125,132.0803833007813,.0410132333636284,.7272727489471436
1885,100,1884/1885,Net federal debt,all,196,5295.1728515625,1167.10888671875,.353453129529953,5.939393997192383
1885,200,1884/1885,Financial assets,all,69,1864.116943359375,410.8699340820313,.124429926276207,2.090909004211426
1885,300,1884/1885,Gross federal debt,all,265,7159.28955078125,1577.978759765625,.4778830409049988,8.030303001403809
1885,310,1884/1885,Unmatured debt,all,193,5214.1240234375,1149.244873046875,.3480431139469147,5.848484992980957
1885,311,1884/1885,Treasury bills,all,0,0,0,0,0
1885,312,1884/1885,Canada savings bonds,all,0,0,0,0,0
1885,313,1884/1885,Marketable bonds,all,174,4700.81640625,1036.106811523438,.3137798011302948,5.272727489471436
1885,320,1884/1885,Superannuation accounts,all,0,0,0,0,0
1885,330,1884/1885,Other liabilities,all,72,1945.16552734375,428.7338562011719,.1298399269580841,2.181818246841431
1885,401,1884/1885,Unmatured debt payable in foreign currencies,all,154,4160.49267578125,917.0140380859375,.2777131497859955,4.666666507720947
1885,521,1884/1885,Debt charges,all,9,243.1456909179688,53.59173202514648,.0162299908697605,.2727272808551788
1885,530,1884/1885,Cash deficit (+) or surplus (-),all,15,405.2427978515625,89.31954956054688,.027049982920289,.4545454680919647
1886,100,1885/1886,Net federal debt,all,223,6253.70556640625,1365.437866210938,.3976937532424927,6.558823585510254
1886,200,1885/1886,Financial assets,all,40,1121.740844726563,244.9215850830078,.0713352039456367,1.176470637321472
