"date","itemid","fiscalyear","Item","Normalization","Value"
1883,311,"1882/1883","Treasury bills","Nominal millions of dollars",0
1883,312,"1882/1883","Canada savings bonds","Nominal millions of dollars",0
1883,313,"1882/1883","Marketable bonds","Nominal millions of dollars",139
1883,320,"1882/1883","Superannuation accounts","Nominal millions of dollars",0
1883,330,"1882/1883","Other liabilities","Nominal millions of dollars",64
1883,401,"1882/1883","Unmatured debt payable in foreign currencies","Nominal millions of dollars",130
1883,521,"1882/1883","Debt charges","Nominal millions of dollars",8
1883,530,"1882/1883","Cash deficit (+) or surplus (-)","Nominal millions of dollars",5
1884,100,"1883/1884","Net federal debt","Nominal millions of dollars",182
1884,200,"1883/1884","Financial assets","Nominal millions of dollars",61
1884,300,"1883/1884","Gross federal debt","Nominal millions of dollars",243
1884,310,"1883/1884","Unmatured debt","Nominal millions of dollars",175
1884,311,"1883/1884","Treasury bills","Nominal millions of dollars",0
1884,312,"1883/1884","Canada savings bonds","Nominal millions of dollars",0
1884,313,"1883/1884","Marketable bonds","Nominal millions of dollars",175
1884,320,"1883/1884","Superannuation accounts","Nominal millions of dollars",0
1884,330,"1883/1884","Other liabilities","Nominal millions of dollars",68
1884,401,"1883/1884","Unmatured debt payable in foreign currencies","Nominal millions of dollars",153
1884,521,"1883/1884","Debt charges","Nominal millions of dollars",8
1884,530,"1883/1884","Cash deficit (+) or surplus (-)","Nominal millions of dollars",24
1885,100,"1884/1885","Net federal debt","Nominal millions of dollars",196
1885,200,"1884/1885","Financial assets","Nominal millions of dollars",69
1885,300,"1884/1885","Gross federal debt","Nominal millions of dollars",265
1885,310,"1884/1885","Unmatured debt","Nominal millions of dollars",193
1885,311,"1884/1885","Treasury bills","Nominal millions of dollars",0
1885,312,"1884/1885","Canada savings bonds","Nominal millions of dollars",0
1885,313,"1884/1885","Marketable bonds","Nominal millions of dollars",174
1885,320,"1884/1885","Superannuation accounts","Nominal millions of dollars",0
1885,330,"1884/1885","Other liabilities","Nominal millions of dollars",72
1885,401,"1884/1885","Unmatured debt payable in foreign currencies","Nominal millions of dollars",154
1885,521,"1884/1885","Debt charges","Nominal millions of dollars",9
1885,530,"1884/1885","Cash deficit (+) or surplus (-)","Nominal millions of dollars",15
1886,100,"1885/1886","Net federal debt","Nominal millions of dollars",223
1886,200,"1885/1886","Financial assets","Nominal millions of dollars",40
1886,300,"1885/1886","Gross federal debt","Nominal millions of dollars",263
1886,310,"1885/1886","Unmatured debt","Nominal millions of dollars",194
1886,311,"1885/1886","Treasury bills","Nominal millions of dollars",0
1886,312,"1885/1886","Canada savings bonds","Nominal millions of dollars",0
1886,313,"1885/1886","Marketable bonds","Nominal millions of dollars",193
1886,320,"1885/1886","Superannuation accounts","Nominal millions of dollars",0
1886,330,"1885/1886","Other liabilities","Nominal millions of dollars",69
1886,401,"1885/1886","Unmatured debt payable in foreign currencies","Nominal millions of dollars",172
1886,521,"1885/1886","Debt charges","Nominal millions of dollars",10
1886,530,"1885/1886","Cash deficit (+) or surplus (-)","Nominal millions of dollars",26
1887,100,"1886/1887","Net federal debt","Nominal millions of dollars",227
1887,200,"1886/1887","Financial assets","Nominal millions of dollars",46
1887,300,"1886/1887","Gross federal debt","Nominal millions of dollars",273
1887,310,"1886/1887","Unmatured debt","Nominal millions of dollars",192
1887,311,"1886/1887","Treasury bills","Nominal millions of dollars",0
1887,312,"1886/1887","Canada savings bonds","Nominal millions of dollars",0
1887,313,"1886/1887","Marketable bonds","Nominal millions of dollars",191
1887,320,"1886/1887","Superannuation accounts","Nominal millions of dollars",0
1887,330,"1886/1887","Other liabilities","Nominal millions of dollars",81
1887,401,"1886/1887","Unmatured debt payable in foreign currencies","Nominal millions of dollars",172
1887,521,"1886/1887","Debt charges","Nominal millions of dollars",10
1887,530,"1886/1887","Cash deficit (+) or surplus (-)","Nominal millions of dollars",4
1888,100,"1887/1888","Net federal debt","Nominal millions of dollars",235
1888,200,"1887/1888","Financial assets","Nominal millions of dollars",50
1888,300,"1887/1888","Gross federal debt","Nominal millions of dollars",285
1888,310,"1887/1888","Unmatured debt","Nominal millions of dollars",200
1888,311,"1887/1888","Treasury bills","Nominal millions of dollars",0
1888,312,"1887/1888","Canada savings bonds","Nominal millions of dollars",0
1888,313,"1887/1888","Marketable bonds","Nominal millions of dollars",194
1888,320,"1887/1888","Superannuation accounts","Nominal millions of dollars",0
1888,330,"1887/1888","Other liabilities","Nominal millions of dollars",85
1888,401,"1887/1888","Unmatured debt payable in foreign currencies","Nominal millions of dollars",177
1888,521,"1887/1888","Debt charges","Nominal millions of dollars",10
1888,530,"1887/1888","Cash deficit (+) or surplus (-)","Nominal millions of dollars",7
1889,100,"1888/1889","Net federal debt","Nominal millions of dollars",238
1889,200,"1888/1889","Financial assets","Nominal millions of dollars",50
1889,300,"1888/1889","Gross federal debt","Nominal millions of dollars",288
1889,310,"1888/1889","Unmatured debt","Nominal millions of dollars",204
1889,311,"1888/1889","Treasury bills","Nominal millions of dollars",0
1889,312,"1888/1889","Canada savings bonds","Nominal millions of dollars",0
1889,313,"1888/1889","Marketable bonds","Nominal millions of dollars",204
1889,320,"1888/1889","Superannuation accounts","Nominal millions of dollars",0
1889,330,"1888/1889","Other liabilities","Nominal millions of dollars",84
1889,401,"1888/1889","Unmatured debt payable in foreign currencies","Nominal millions of dollars",188
1889,521,"1888/1889","Debt charges","Nominal millions of dollars",10
1889,530,"1888/1889","Cash deficit (+) or surplus (-)","Nominal millions of dollars",3
1890,100,"1889/1890","Net federal debt","Nominal millions of dollars",238
1890,200,"1889/1890","Financial assets","Nominal millions of dollars",48
1890,300,"1889/1890","Gross federal debt","Nominal millions of dollars",286
1890,310,"1889/1890","Unmatured debt","Nominal millions of dollars",203
1890,311,"1889/1890","Treasury bills","Nominal millions of dollars",0
1890,312,"1889/1890","Canada savings bonds","Nominal millions of dollars",0
1890,313,"1889/1890","Marketable bonds","Nominal millions of dollars",201
1890,320,"1889/1890","Superannuation accounts","Nominal millions of dollars",0
1890,330,"1889/1890","Other liabilities","Nominal millions of dollars",83
1890,401,"1889/1890","Unmatured debt payable in foreign currencies","Nominal millions of dollars",188
1890,521,"1889/1890","Debt charges","Nominal millions of dollars",10
1890,530,"1889/1890","Cash deficit (+) or surplus (-)","Nominal millions of dollars",0
1891,100,"1890/1891","Net federal debt","Nominal millions of dollars",238
1891,200,"1890/1891","Financial assets","Nominal millions of dollars",53
1891,300,"1890/1891","Gross federal debt","Nominal millions of dollars",291
1891,310,"1890/1891","Unmatured debt","Nominal millions of dollars",208
1891,311,"1890/1891","Treasury bills","Nominal millions of dollars",0
1891,312,"1890/1891","Canada savings bonds","Nominal millions of dollars",0
1891,313,"1890/1891","Marketable bonds","Nominal millions of dollars",200
1891,320,"1890/1891","Superannuation accounts","Nominal millions of dollars",0
1891,330,"1890/1891","Other liabilities","Nominal millions of dollars",83
1891,401,"1890/1891","Unmatured debt payable in foreign currencies","Nominal millions of dollars",188
1891,521,"1890/1891","Debt charges","Nominal millions of dollars",10
1891,530,"1890/1891","Cash deficit (+) or surplus (-)","Nominal millions of dollars",0
1892,100,"1891/1892","Net federal debt","Nominal millions of dollars",241
1892,200,"1891/1892","Financial assets","Nominal millions of dollars",55
1892,300,"1891/1892","Gross federal debt","Nominal millions of dollars",296
1892,310,"1891/1892","Unmatured debt","Nominal millions of dollars",209
1892,311,"1891/1892","Treasury bills","Nominal millions of dollars",0
1892,312,"1891/1892","Canada savings bonds","Nominal millions of dollars",0
1892,313,"1891/1892","Marketable bonds","Nominal millions of dollars",209
1892,320,"1891/1892","Superannuation accounts","Nominal millions of dollars",0
1892,330,"1891/1892","Other liabilities","Nominal millions of dollars",87
1892,401,"1891/1892","Unmatured debt payable in foreign currencies","Nominal millions of dollars",199
1892,521,"1891/1892","Debt charges","Nominal millions of dollars",10
1892,530,"1891/1892","Cash deficit (+) or surplus (-)","Nominal millions of dollars",3
1893,100,"1892/1893","Net federal debt","Nominal millions of dollars",242
1893,200,"1892/1893","Financial assets","Nominal millions of dollars",58
1893,300,"1892/1893","Gross federal debt","Nominal millions of dollars",300
1893,310,"1892/1893","Unmatured debt","Nominal millions of dollars",212
1893,311,"1892/1893","Treasury bills","Nominal millions of dollars",0
1893,312,"1892/1893","Canada savings bonds","Nominal millions of dollars",0
1893,313,"1892/1893","Marketable bonds","Nominal millions of dollars",210
1893,320,"1892/1893","Superannuation accounts","Nominal millions of dollars",0
1893,330,"1892/1893","Other liabilities","Nominal millions of dollars",88
1893,401,"1892/1893","Unmatured debt payable in foreign currencies","Nominal millions of dollars",202
1893,521,"1892/1893","Debt charges","Nominal millions of dollars",10
1893,530,"1892/1893","Cash deficit (+) or surplus (-)","Nominal millions of dollars",1
1894,100,"1893/1894","Net federal debt","Nominal millions of dollars",246
1894,200,"1893/1894","Financial assets","Nominal millions of dollars",62
1894,300,"1893/1894","Gross federal debt","Nominal millions of dollars",308
1894,310,"1893/1894","Unmatured debt","Nominal millions of dollars",217
1894,311,"1893/1894","Treasury bills","Nominal millions of dollars",0
1894,312,"1893/1894","Canada savings bonds","Nominal millions of dollars",0
1894,313,"1893/1894","Marketable bonds","Nominal millions of dollars",215
1894,320,"1893/1894","Superannuation accounts","Nominal millions of dollars",0
1894,330,"1893/1894","Other liabilities","Nominal millions of dollars",91
1894,401,"1893/1894","Unmatured debt payable in foreign currencies","Nominal millions of dollars",207
1894,521,"1893/1894","Debt charges","Nominal millions of dollars",10
1894,530,"1893/1894","Cash deficit (+) or surplus (-)","Nominal millions of dollars",5
1895,100,"1894/1895","Net federal debt","Nominal millions of dollars",253
1895,200,"1894/1895","Financial assets","Nominal millions of dollars",65
1895,300,"1894/1895","Gross federal debt","Nominal millions of dollars",318
1895,310,"1894/1895","Unmatured debt","Nominal millions of dollars",225
1895,311,"1894/1895","Treasury bills","Nominal millions of dollars",0
1895,312,"1894/1895","Canada savings bonds","Nominal millions of dollars",0
1895,313,"1894/1895","Marketable bonds","Nominal millions of dollars",225
1895,320,"1894/1895","Superannuation accounts","Nominal millions of dollars",0
1895,330,"1894/1895","Other liabilities","Nominal millions of dollars",93
1895,401,"1894/1895","Unmatured debt payable in foreign currencies","Nominal millions of dollars",218
1895,521,"1894/1895","Debt charges","Nominal millions of dollars",11
1895,530,"1894/1895","Cash deficit (+) or surplus (-)","Nominal millions of dollars",7
1896,100,"1895/1896","Net federal debt","Nominal millions of dollars",258
1896,200,"1895/1896","Financial assets","Nominal millions of dollars",68
1896,300,"1895/1896","Gross federal debt","Nominal millions of dollars",326
1896,310,"1895/1896","Unmatured debt","Nominal millions of dollars",230
1896,311,"1895/1896","Treasury bills","Nominal millions of dollars",0
1896,312,"1895/1896","Canada savings bonds","Nominal millions of dollars",0
1896,313,"1895/1896","Marketable bonds","Nominal millions of dollars",228
1896,320,"1895/1896","Superannuation accounts","Nominal millions of dollars",0
1896,330,"1895/1896","Other liabilities","Nominal millions of dollars",96
1896,401,"1895/1896","Unmatured debt payable in foreign currencies","Nominal millions of dollars",218
1896,521,"1895/1896","Debt charges","Nominal millions of dollars",11
1896,530,"1895/1896","Cash deficit (+) or surplus (-)","Nominal millions of dollars",5
1897,100,"1896/1897","Net federal debt","Nominal millions of dollars",262
